n	MeshesToLoad	MeshesLoaded
0	40	0
0.01	160	0
0.02	118	0
0.03	98	0
0.04	80	0
0.05	80	0
0.06	80	0
0.07	80	0
0.08	80	0
0.09	80	0
0.1	80	0
0.11	80	0
0.12	80	0
0.13	80	0
0.14	80	0
0.15	80	0
0.16	80	0
0.17	80	0
0.18	80	0
0.19	80	0
0.2	80	0
0.21	80	8
0.22	80	8
0.23	80	8
0.24	80	8
0.25	80	8
0.26	80	8
0.27	80	8
0.28	80	8
0.29	80	8
0.3	80	8
0.31	80	8
0.32	78	10
0.33	78	12
0.34	78	12
0.35	78	24
0.36	78	24
0.37	78	24
0.38	76	24
0.39	76	24
0.4	76	24
0.41	74	26
0.42	72	24
0.43	72	24
0.44	72	24
0.45	72	24
0.46	72	24
0.47	72	24
0.48	72	24
0.49	72	24
0.5	72	24
0.51	72	24
0.52	72	24
0.53	72	24
0.54	72	24
0.55	72	24
0.56	72	24
0.57	72	24
0.58	72	24
0.59	72	24
0.6	90	24
0.61	90	24
0.62	90	24
0.63	90	24
0.64	90	24
0.65	90	24
0.66	90	24
0.67	90	24
0.68	90	24
0.69	90	24
0.7	90	24
0.71	90	24
0.72	90	24
0.73	90	24
0.74	90	36
0.75	90	36
0.76	90	40
0.77	90	40
0.78	90	44
0.79	90	44
0.8	90	44
0.81	90	46
0.82	90	46
0.83	90	46
0.84	90	46
0.85	90	46
0.86	90	46
0.87	90	50
0.88	90	52
0.89	90	52
0.9	90	52
0.91	90	56
0.92	90	56
0.93	90	56
0.94	90	56
0.95	90	56
0.96	90	56
0.97	90	56
0.98	90	56
0.99	90	56
1	90	56
1.01	90	56
1.02	90	56
1.03	90	56
1.04	90	58
1.05	90	58
1.06	90	58
1.07	90	62
1.08	90	62
1.09	90	62
1.1	90	64
1.11	90	70
1.12	90	74
1.13	90	74
1.14	90	74
1.15	90	76
1.16	90	76
1.17	90	76
1.18	90	76
1.19	108	76
1.2	108	78
1.21	108	80
1.22	108	82
1.23	108	82
1.24	108	82
1.25	108	82
1.26	108	82
1.27	108	82
1.28	108	82
1.29	108	88
1.3	108	88
1.31	108	88
1.32	108	88
1.33	108	88
1.34	108	88
1.35	108	88
1.36	108	88
1.37	108	88
