n	MeshesToLoad	MeshesLoadedpercentage(Loaded/ToLoad)
2.64	48	20	0.416667
2.65	48	20	0.416667
2.66	48	20	0.416667
2.67	48	20	0.416667
2.68	48	20	0.416667
2.69	48	20	0.416667
2.7	48	20	0.416667
2.71	48	20	0.416667
2.72	48	20	0.416667
2.73	48	20	0.416667
2.74	48	20	0.416667
2.75	48	20	0.416667
2.76	48	20	0.416667
2.77	48	20	0.416667
2.78	48	20	0.416667
2.79	48	20	0.416667
2.8	48	20	0.416667
2.81	48	20	0.416667
2.82	48	20	0.416667
2.83	48	20	0.416667
2.84	48	20	0.416667
2.85	48	20	0.416667
2.86	48	20	0.416667
2.87	48	20	0.416667
2.88	48	20	0.416667
2.89	48	20	0.416667
2.9	48	20	0.416667
2.91	48	20	0.416667
2.92	48	20	0.416667
2.93	48	20	0.416667
2.94	48	20	0.416667
2.95	48	20	0.416667
2.96	48	20	0.416667
2.97	48	20	0.416667
2.98	48	20	0.416667
2.99	48	20	0.416667
3	48	20	0.416667
3.01	48	20	0.416667
3.02	48	20	0.416667
3.03	48	20	0.416667
3.04	48	20	0.416667
3.05	48	20	0.416667
3.06	48	20	0.416667
3.07	48	20	0.416667
3.08	48	20	0.416667
3.09	48	20	0.416667
3.1	48	20	0.416667
3.11	48	20	0.416667
3.12	48	20	0.416667
3.13	48	20	0.416667
3.14	48	20	0.416667
3.15	48	20	0.416667
3.16	48	20	0.416667
3.17	48	20	0.416667
3.18	48	20	0.416667
3.19	48	20	0.416667
3.2	48	20	0.416667
3.21	48	20	0.416667
3.22	48	20	0.416667
3.23	48	20	0.416667
3.24	48	20	0.416667
3.25	48	20	0.416667
3.26	48	20	0.416667
3.27	48	20	0.416667
3.28	48	20	0.416667
3.29	48	20	0.416667
3.3	48	20	0.416667
3.31	48	20	0.416667
3.32	48	20	0.416667
3.33	48	20	0.416667
3.34	48	20	0.416667
3.35	48	16	0.333333
3.36	48	16	0.333333
3.37	48	16	0.333333
3.38	48	16	0.333333
3.39	48	16	0.333333
3.4	48	16	0.333333
3.41	48	16	0.333333
3.42	48	16	0.333333
3.43	48	16	0.333333
3.44	48	16	0.333333
3.45	48	16	0.333333
3.46	48	16	0.333333
3.47	48	16	0.333333
3.48	48	16	0.333333
3.49	48	16	0.333333
3.5	48	16	0.333333
3.51	48	16	0.333333
3.52	48	20	0.416667
3.53	48	20	0.416667
3.54	48	20	0.416667
3.55	48	20	0.416667
3.56	48	20	0.416667
3.57	48	20	0.416667
3.58	48	20	0.416667
3.59	48	20	0.416667
3.6	48	20	0.416667
3.61	48	20	0.416667
3.62	48	20	0.416667
3.63	48	20	0.416667
3.64	48	20	0.416667
3.65	48	20	0.416667
3.66	48	20	0.416667
3.67	48	20	0.416667
3.68	48	20	0.416667
3.69	48	20	0.416667
3.7	48	20	0.416667
3.71	48	20	0.416667
3.72	48	20	0.416667
3.73	48	20	0.416667
3.74	48	20	0.416667
3.75	48	20	0.416667
3.76	48	20	0.416667
3.77	48	20	0.416667
3.78	48	20	0.416667
3.79	48	20	0.416667
3.8	48	20	0.416667
3.81	48	20	0.416667
3.82	48	20	0.416667
3.83	48	20	0.416667
3.84	48	20	0.416667
3.85	48	20	0.416667
3.86	48	20	0.416667
3.87	48	20	0.416667
3.88	48	20	0.416667
3.89	48	20	0.416667
3.9	48	20	0.416667
3.91	48	20	0.416667
3.92	48	20	0.416667
3.93	48	20	0.416667
3.94	48	20	0.416667
3.95	48	20	0.416667
3.96	48	20	0.416667
3.97	48	20	0.416667
3.98	48	20	0.416667
3.99	48	20	0.416667
4	48	20	0.416667
4.01	48	20	0.416667
4.02	48	20	0.416667
4.03	48	20	0.416667
4.04	48	20	0.416667
4.05	48	20	0.416667
4.06	48	20	0.416667
4.07	48	20	0.416667
4.08	48	20	0.416667
4.09	48	20	0.416667
4.1	48	20	0.416667
4.11	48	20	0.416667
4.12	48	20	0.416667
4.13	48	20	0.416667
4.14	48	20	0.416667
4.15	48	20	0.416667
4.16	48	20	0.416667
4.17	48	20	0.416667
4.18	48	20	0.416667
4.19	48	20	0.416667
4.2	48	20	0.416667
4.21	48	20	0.416667
4.22	48	20	0.416667
4.23	48	20	0.416667
4.24	48	20	0.416667
4.25	48	20	0.416667
4.26	48	20	0.416667
4.27	48	16	0.333333
4.28	48	16	0.333333
4.29	48	16	0.333333
4.3	48	16	0.333333
4.31	48	16	0.333333
4.32	48	16	0.333333
4.33	48	16	0.333333
4.34	48	16	0.333333
4.35	48	16	0.333333
4.36	48	16	0.333333
4.37	48	16	0.333333
4.38	48	16	0.333333
4.39	48	16	0.333333
4.4	48	16	0.333333
4.41	48	16	0.333333
4.42	48	16	0.333333
4.43	48	16	0.333333
4.44	48	16	0.333333
4.45	48	20	0.416667
4.46	48	20	0.416667
4.47	48	20	0.416667
4.48	48	20	0.416667
4.49	48	20	0.416667
4.5	48	20	0.416667
4.51	48	20	0.416667
4.52	48	20	0.416667
4.53	48	20	0.416667
4.54	48	20	0.416667
4.55	48	20	0.416667
4.56	48	20	0.416667
4.57	48	20	0.416667
4.58	48	20	0.416667
4.59	48	20	0.416667
4.6	48	20	0.416667
4.61	48	20	0.416667
4.62	48	20	0.416667
4.63	48	20	0.416667
4.64	48	20	0.416667
4.65	48	20	0.416667
4.66	48	20	0.416667
4.67	48	20	0.416667
4.68	48	20	0.416667
4.69	48	20	0.416667
4.7	48	20	0.416667
4.71	48	20	0.416667
4.72	72	20	0.277778
4.73	72	20	0.277778
4.74	72	20	0.277778
4.75	72	20	0.277778
4.76	72	20	0.277778
4.77	72	20	0.277778
4.78	72	20	0.277778
4.79	72	20	0.277778
4.8	72	20	0.277778
4.81	72	20	0.277778
4.82	72	20	0.277778
4.83	72	20	0.277778
4.84	72	20	0.277778
4.85	72	20	0.277778
4.86	72	20	0.277778
4.87	72	20	0.277778
4.88	72	20	0.277778
4.89	72	20	0.277778
4.9	72	20	0.277778
4.91	72	20	0.277778
4.92	72	20	0.277778
4.93	72	20	0.277778
4.94	72	20	0.277778
4.95	72	20	0.277778
4.96	72	20	0.277778
4.97	72	24	0.333333
4.98	72	24	0.333333
4.99	72	32	0.444444
5	72	32	0.444444
5.01	72	32	0.444444
5.02	72	32	0.444444
5.03	72	32	0.444444
5.04	72	32	0.444444
5.05	72	32	0.444444
5.06	72	32	0.444444
5.07	72	32	0.444444
5.08	72	32	0.444444
5.09	72	32	0.444444
5.1	72	32	0.444444
5.11	72	32	0.444444
5.12	72	32	0.444444
5.13	72	32	0.444444
5.14	72	32	0.444444
5.15	72	32	0.444444
5.16	72	36	0.5
5.17	72	36	0.5
5.18	72	36	0.5
5.19	72	36	0.5
5.2	72	36	0.5
5.21	72	36	0.5
5.22	72	36	0.5
5.23	72	36	0.5
5.24	72	36	0.5
5.25	72	36	0.5
5.26	72	36	0.5
5.27	72	36	0.5
5.28	72	36	0.5
5.29	72	36	0.5
5.3	72	36	0.5
5.31	72	36	0.5
5.32	72	36	0.5
5.33	72	36	0.5
5.34	72	36	0.5
5.35	72	36	0.5
5.36	72	36	0.5
5.37	72	36	0.5
5.38	72	36	0.5
5.39	72	36	0.5
5.4	72	36	0.5
5.41	72	36	0.5
5.42	72	36	0.5
5.43	72	36	0.5
5.44	72	36	0.5
5.45	72	36	0.5
5.46	72	36	0.5
5.47	72	36	0.5
5.48	72	36	0.5
5.49	72	36	0.5
5.5	72	36	0.5
5.51	72	36	0.5
5.52	72	36	0.5
5.53	72	36	0.5
5.54	72	36	0.5
5.55	72	36	0.5
5.56	72	36	0.5
5.57	72	36	0.5
5.58	72	36	0.5
5.59	72	36	0.5
5.6	72	36	0.5
5.61	72	36	0.5
5.62	72	36	0.5
5.63	72	36	0.5
5.64	72	36	0.5
5.65	72	36	0.5
5.66	72	36	0.5
5.67	72	36	0.5
5.68	72	36	0.5
5.69	72	36	0.5
5.7	72	36	0.5
5.71	72	36	0.5
5.72	72	36	0.5
5.73	72	36	0.5
5.74	72	36	0.5
5.75	72	36	0.5
5.76	72	36	0.5
5.77	72	36	0.5
5.78	72	36	0.5
5.79	72	36	0.5
5.8	72	36	0.5
5.81	72	36	0.5
5.82	72	36	0.5
5.83	72	36	0.5
5.84	72	36	0.5
5.85	72	36	0.5
5.86	72	36	0.5
5.87	72	36	0.5
5.88	72	36	0.5
5.89	72	36	0.5
5.9	72	36	0.5
5.91	72	36	0.5
5.92	72	36	0.5
5.93	72	36	0.5
5.94	72	36	0.5
5.95	72	36	0.5
5.96	72	36	0.5
5.97	72	36	0.5
5.98	72	36	0.5
5.99	72	36	0.5
6	72	36	0.5
6.01	72	36	0.5
6.02	72	36	0.5
6.03	72	36	0.5
6.04	72	36	0.5
6.05	72	36	0.5
6.06	72	36	0.5
6.07	72	36	0.5
6.08	72	36	0.5
6.09	72	36	0.5
6.1	72	36	0.5
6.11	72	36	0.5
6.12	72	36	0.5
6.13	72	36	0.5
6.14	72	36	0.5
6.15	72	36	0.5
6.16	72	36	0.5
6.17	72	36	0.5
6.18	72	36	0.5
6.19	72	36	0.5
6.2	72	36	0.5
6.21	72	36	0.5
6.22	72	36	0.5
6.23	72	36	0.5
6.24	72	36	0.5
6.25	72	36	0.5
6.26	72	36	0.5
6.27	72	36	0.5
6.28	72	36	0.5
6.29	72	36	0.5
6.3	72	36	0.5
6.31	72	36	0.5
6.32	72	36	0.5
6.33	72	36	0.5
6.34	72	36	0.5
6.35	72	36	0.5
6.36	72	36	0.5
6.37	72	36	0.5
6.38	72	36	0.5
6.39	72	36	0.5
6.4	72	36	0.5
6.41	72	36	0.5
6.42	72	36	0.5
6.43	72	36	0.5
6.44	72	36	0.5
6.45	72	36	0.5
6.46	72	36	0.5
6.47	72	36	0.5
6.48	72	36	0.5
6.49	72	36	0.5
6.5	72	36	0.5
6.51	72	36	0.5
6.52	72	36	0.5
6.53	72	36	0.5
6.54	72	36	0.5
6.55	72	36	0.5
6.56	72	36	0.5
6.57	72	36	0.5
6.58	96	36	0.375
6.59	96	36	0.375
6.6	96	36	0.375
6.61	96	36	0.375
6.62	96	36	0.375
6.63	96	36	0.375
6.64	96	36	0.375
6.65	96	36	0.375
6.66	96	36	0.375
6.67	96	36	0.375
6.68	96	36	0.375
6.69	96	36	0.375
6.7	96	36	0.375
6.71	96	36	0.375
6.72	96	36	0.375
6.73	96	36	0.375
6.74	96	36	0.375
6.75	96	36	0.375
6.76	96	36	0.375
6.77	96	36	0.375
6.78	96	36	0.375
6.79	96	36	0.375
6.8	96	36	0.375
6.81	96	36	0.375
6.82	96	44	0.458333
6.83	96	44	0.458333
6.84	96	48	0.5
6.85	96	48	0.5
6.86	96	48	0.5
6.87	96	48	0.5
6.88	96	48	0.5
6.89	96	48	0.5
6.9	96	48	0.5
6.91	96	48	0.5
6.92	96	48	0.5
6.93	96	48	0.5
6.94	96	48	0.5
6.95	96	48	0.5
6.96	96	48	0.5
6.97	96	48	0.5
6.98	96	48	0.5
6.99	96	48	0.5
7	96	52	0.541667
7.01	96	52	0.541667
7.02	96	52	0.541667
7.03	96	52	0.541667
7.04	96	52	0.541667
7.05	96	52	0.541667
7.06	96	52	0.541667
7.07	96	52	0.541667
7.08	96	52	0.541667
7.09	96	52	0.541667
7.1	96	52	0.541667
7.11	96	52	0.541667
7.12	96	52	0.541667
7.13	96	52	0.541667
7.14	96	52	0.541667
7.15	96	52	0.541667
7.16	96	52	0.541667
7.17	96	52	0.541667
7.18	96	52	0.541667
7.19	96	52	0.541667
7.2	96	52	0.541667
7.21	96	52	0.541667
7.22	96	52	0.541667
7.23	96	52	0.541667
7.24	96	52	0.541667
7.25	96	52	0.541667
7.26	96	52	0.541667
7.27	96	52	0.541667
7.28	96	52	0.541667
7.29	96	52	0.541667
7.3	96	52	0.541667
7.31	96	52	0.541667
7.32	96	52	0.541667
7.33	96	52	0.541667
7.34	96	52	0.541667
7.35	96	52	0.541667
7.36	96	52	0.541667
7.37	96	52	0.541667
7.38	96	52	0.541667
7.39	96	52	0.541667
7.4	96	52	0.541667
7.41	96	52	0.541667
7.42	96	52	0.541667
7.43	96	52	0.541667
7.44	96	52	0.541667
7.45	96	52	0.541667
7.46	96	52	0.541667
7.47	96	52	0.541667
7.48	96	52	0.541667
7.49	96	52	0.541667
7.5	120	52	0.433333
7.51	120	52	0.433333
7.52	120	52	0.433333
7.53	120	52	0.433333
7.54	120	52	0.433333
7.55	120	52	0.433333
7.56	120	52	0.433333
7.57	120	52	0.433333
7.58	120	52	0.433333
7.59	120	52	0.433333
7.6	120	52	0.433333
7.61	120	52	0.433333
7.62	120	52	0.433333
7.63	120	52	0.433333
7.64	120	52	0.433333
7.65	120	52	0.433333
7.66	120	52	0.433333
7.67	120	52	0.433333
7.68	120	52	0.433333
7.69	120	52	0.433333
7.7	120	52	0.433333
7.71	120	52	0.433333
7.72	120	52	0.433333
7.73	120	60	0.5
7.74	120	60	0.5
7.75	120	64	0.533333
7.76	120	64	0.533333
7.77	120	64	0.533333
7.78	120	64	0.533333
7.79	120	64	0.533333
7.8	120	64	0.533333
7.81	120	64	0.533333
7.82	120	64	0.533333
7.83	120	64	0.533333
7.84	120	64	0.533333
7.85	120	64	0.533333
7.86	120	64	0.533333
7.87	120	64	0.533333
7.88	120	64	0.533333
7.89	120	64	0.533333
7.9	120	64	0.533333
7.91	120	64	0.533333
7.92	120	68	0.566667
7.93	120	68	0.566667
7.94	120	68	0.566667
7.95	120	68	0.566667
7.96	120	68	0.566667
7.97	120	68	0.566667
7.98	120	68	0.566667
7.99	120	68	0.566667
8	120	68	0.566667
8.01	120	68	0.566667
8.02	120	68	0.566667
8.03	120	68	0.566667
8.04	120	68	0.566667
8.05	120	68	0.566667
8.06	120	68	0.566667
8.07	120	68	0.566667
8.08	120	68	0.566667
8.09	120	68	0.566667
8.1	120	68	0.566667
8.11	120	68	0.566667
8.12	120	68	0.566667
8.13	120	68	0.566667
8.14	120	68	0.566667
8.15	120	68	0.566667
8.16	120	68	0.566667
8.17	120	68	0.566667
8.18	120	68	0.566667
